system:index,B11,B12,B2,B3,B4,B8,NDBI,NDVI,class,random,.geo
1_2_1_00000000000000000085_0,0.2022,0.1072,0.033,0.0771,0.0419,0.4377,-0.36802626,0.82527107,1,0.8917602781437598,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.891924349811026,46.69177843844457]}"
1_2_1_0000000000000000008b_0,0.2304,0.1177,0.0327,0.073,0.037,0.456,-0.32867134,0.8498986,1,0.8778809020156396,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.872790234259281,46.68881399800698]}"
1_2_1_0000000000000000008e_0,0.2516,0.1234,0.0293,0.0637,0.033,0.4611,-0.29395258,0.8664238,1,0.9453620376710979,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.877910631378762,46.69204793302981]}"
1_2_1_00000000000000000091_0,0.2102,0.0955,0.0166,0.0417,0.02,0.4127,-0.32509232,0.9075572,1,0.9525696411468929,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.865513880457912,46.6934852374844]}"
1_2_2_00000000000000000073_0,0.181,0.075,0.0186,0.0419,0.0186,0.4665,-0.44092667,0.9233148,1,0.8444839112760257,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.866591858798856,46.69609035180835]}"
1_2_2_00000000000000000070_0,0.0881,0.0406,0.0181,0.0368,0.0215,0.2351,-0.45482674,0.832424,1,0.9646195990730849,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.866681690327267,46.70318704255289]}"
1_2_2_00000000000000000067_0,0.1911,0.081,0.0195,0.0468,0.0198,0.4801,-0.43057212,0.9207842,1,0.770760748759497,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.867580005611387,46.693754732069635]}"
1_2_2_00000000000000000091_0,0.1708,0.0788,0.0205,0.0385,0.0233,0.3443,-0.3368278,0.87323177,1,0.7675574833320027,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.853835781764358,46.67650707861454]}"
1_2_2_00000000000000000069_0,0.1977,0.0886,0.0202,0.0479,0.0212,0.42,-0.35988343,0.9038985,1,0.8807099308290177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.86910714159439,46.69707849862088]}"
1_2_2_00000000000000000075_0,0.1938,0.0853,0.0239,0.0593,0.0217,0.4894,-0.4326698,0.91508514,1,0.8194464434641733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.881773387100475,46.691149617745694]}"
1_2_2_00000000000000000085_0,0.1864,0.1003,0.0254,0.0527,0.0289,0.3945,-0.3582372,0.86348605,1,0.7059922437210702,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.875934337753699,46.68863433495016]}"
1_2_2_0000000000000000005d_0,0.1646,0.0658,0.022,0.0509,0.025,0.466,-0.4779575,0.898167,1,0.8903005165191347,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.883659849197127,46.69141911233093]}"
1_2_2_0000000000000000005c_0,0.1605,0.0669,0.0246,0.0484,0.0256,0.4697,-0.4906379,0.8966283,1,0.997637742621272,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.8851869851801295,46.691868269972986]}"
1_2_2_00000000000000000089_0,0.2122,0.1108,0.0296,0.0645,0.0242,0.4972,-0.40174797,0.907173,1,0.9121183490931571,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.879078441248117,46.687556356609214]}"
1_2_2_00000000000000000060_0,0.2004,0.094,0.0281,0.0681,0.0277,0.4869,-0.41684854,0.8923436,1,0.9194906392177924,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.884109006839187,46.683513937830675]}"
1_2_2_00000000000000000081_0,0.1692,0.0764,0.0291,0.0584,0.03,0.4377,-0.44241226,0.8717126,1,0.9508117657001912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.875395348583227,46.68549023145574]}"
1_2_2_00000000000000000092_0,0.2178,0.1016,0.028,0.0684,0.0276,0.5018,-0.3946637,0.89573103,1,0.7107639597751372,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.887792099504076,46.68611905215462]}"
1_2_2_00000000000000000059_0,0.2322,0.1147,0.0323,0.0726,0.0403,0.3937,-0.25802845,0.8142857,1,0.7123376367635321,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.860303651810019,46.68656820979668]}"
1_2_2_00000000000000000077_0,0.1768,0.0821,0.0284,0.0653,0.0288,0.4391,-0.42588082,0.8768968,1,0.8713643201525628,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.879617430418588,46.688275008836506]}"
1_2_2_0000000000000000007a_0,0.2186,0.1029,0.0306,0.0678,0.0287,0.459,-0.35478157,0.88230467,1,0.9455902375852617,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.886534458106309,46.68468174770003]}"
1_2_2_0000000000000000005f_0,0.2224,0.1122,0.0333,0.0756,0.0379,0.4895,-0.37519315,0.85627604,1,0.7894790383830791,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.883659849197127,46.685669894512564]}"
1_2_2_00000000000000000076_0,0.2216,0.1024,0.032,0.0724,0.0334,0.5091,-0.39345837,0.87686634,1,0.8817358921286244,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.873329223429752,46.688275008836506]}"
1_2_2_00000000000000000086_0,0.2195,0.106,0.0357,0.0779,0.0386,0.4014,-0.2929618,0.82454544,1,0.7258980143188569,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.872251245088808,46.689712313291096]}"
1_2_2_0000000000000000005e_0,0.2159,0.1011,0.0398,0.0767,0.0344,0.518,-0.41163647,0.8754526,1,0.946655552571449,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.887163278805192,46.68764618813763]}"
1_2_2_00000000000000000061_0,0.2017,0.0952,0.0337,0.0702,0.0375,0.4136,-0.34438485,0.83373976,1,0.834375992412121,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.892463338981498,46.69177843844457]}"
1_2_2_00000000000000000080_0,0.2274,0.1166,0.0357,0.0765,0.0373,0.4914,-0.36727878,0.8588992,1,0.9723112550029128,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.873598718014988,46.68575972604097]}"
1_2_2_00000000000000000052_0,0.2692,0.1753,0.0406,0.0728,0.0724,0.3824,-0.17372623,0.6816183,1,0.9020883049988682,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.860932472508902,46.683963095472734]}"
2_1_1_00000000000000000001_0,0.2664,0.2349,0.0318,0.0346,0.0433,0.09,0.4949495,0.35033762,0,0.9955309134279517,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.856979885258776,46.686658041325096]}"
2_1_1_00000000000000000002_0,0.2047,0.1816,0.0868,0.1038,0.1328,0.1675,0.09994624,0.11555114,0,0.9300266873675823,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.862729103077141,46.688544503421745]}"
2_1_1_00000000000000000003_0,0.2374,0.1222,0.0361,0.0732,0.0528,0.3629,-0.20906213,0.74597067,0,0.8290761490684737,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.864166407531733,46.69653950945041]}"
2_1_1_00000000000000000004_0,0.2126,0.1351,0.068,0.0824,0.0838,0.1831,0.07455141,0.37204945,0,0.781953959647231,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.878359789020822,46.68863433495016]}"
2_1_1_00000000000000000005_0,0.1497,0.1231,0.084,0.0901,0.0948,0.1152,0.13023783,0.09714283,0,0.8220622755066318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.875575011640051,46.69025130246157]}"
2_1_1_00000000000000000007_0,0.253,0.2303,0.1288,0.1498,0.1544,0.1882,0.14687216,0.0986573,0,0.9522182316087052,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.87602416928211,46.6919581015014]}"
2_1_1_00000000000000000008_0,0.5032,0.3697,0.225,0.3044,0.3062,0.5288,-0.024806216,0.26658684,0,0.7561564359174408,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.875036022469579,46.6919581015014]}"
2_1_1_0000000000000000000a_0,0.1615,0.1379,0.1168,0.1296,0.1208,0.157,0.014128733,0.13030958,0,0.829462007732729,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.869376636179626,46.69177843844457]}"
2_1_1_0000000000000000000e_0,0.2635,0.2786,0.3076,0.3384,0.3408,0.3144,-0.08807749,-0.04029304,0,0.8662422038266149,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.890666708413259,46.68926315564904]}"
2_1_1_00000000000000000012_0,0.2429,0.2156,0.0834,0.1034,0.1094,0.1698,0.17712624,0.21633239,0,0.9363005934644867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.886803952691545,46.682795285603376]}"
2_1_1_00000000000000000015_0,0.234,0.149,0.0672,0.0728,0.0746,0.096,0.4181818,0.1254396,0,0.988356267450085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.875575011640051,46.68737669355239]}"
2_1_1_00000000000000000016_0,0.2704,0.2063,0.1096,0.1188,0.133,0.1914,0.17106968,0.18002467,0,0.8013538769664684,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.875485180111639,46.686658041325096]}"
2_1_1_00000000000000000019_0,0.2246,0.1642,0.0886,0.1028,0.0904,0.1551,0.18303923,0.26354378,0,0.8963305760334394,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.867759668668211,46.68405292700115]}"
2_1_1_0000000000000000001b_0,0.3248,0.2993,0.0587,0.0766,0.0983,0.203,0.23076926,0.34749416,0,0.9126852596529229,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.86452573364538,46.68234612796132]}"
2_1_1_0000000000000000001c_0,0.2328,0.1657,0.0822,0.0855,0.0886,0.1256,0.29910716,0.17273574,0,0.9112039581796335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.863807081418085,46.683064780188616]}"
2_1_1_0000000000000000001f_0,0.2603,0.236,0.0747,0.0875,0.1018,0.186,0.16647996,0.29256427,0,0.9290301173272637,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.8587765158270155,46.68126814962037]}"
2_1_1_00000000000000000021_0,0.2235,0.2593,0.101,0.1182,0.1366,0.2031,0.04781998,0.19576095,0,0.7790978965357019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.868388489367095,46.68387326394432]}"
